order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD032938,ID1492149394,2019-06-03,Thompson,"[('iAssist Line', 2), ('iStream', 2), ('pearTV', 2), ('Alcon 10', 1)]",26320,48.7,-37.8130742,144.95156310000004,10,23736.7,Winter,False,0.3977,mal funcionamiento el artículo llego en buenas condiciones estéticas pero no funciona el face id y la pantalla tiene flashes y cambia de color. no funciona correctamente,False
ORD311374,ID1033063213,2019-08-03,Bakers,"[('Toshika 750', 2), ('iAssist Line', 2)]",13090,65.91,-37.80068920000001,144.99432130000002,0,13155.91,Winter,False,1.0391,ok phone i got this phone for my mother she liked it but now has a new one,True
ORD396995,ID0710001211,2019-02-21,Thompson,"[('iStream', 2), ('Alcon 10', 1), ('Universe Note', 2)]",16150,76.31,-37.81401629999999,144.9360782,10,14611.31,Summer,False,0.978,thank you. b thank you. b,True
ORD435122,ID0033675616,2019-12-07,Thompson,"[('Thunder line', 1), ('Universe Note', 2), ('pearTV', 2)]",21700,93.24,-37.809083799999996,144.9555017,15,18538.24,Summer,True,0.8424,i love my inferno stick,True
ORD213424,ID0207093465,2019-11-19,Bakers,"[('Lucent 330S', 1), ('iStream', 1), ('pearTV', 1), ('Alcon 10', 2)]",25590,100.77,-37.8064408,144.9997194,15,21852.27,Spring,True,0.5589,five stars excellent phone. surpassed my highest expectations.,True
ORD304313,ID3807748044,2019-06-26,Bakers,"[('Candle Inferno', 1), ('Lucent 330S', 2), ('Toshika 750', 1)]",7210,61.93,-37.8068488,144.9979094,0,7271.93,Winter,True,0.4221,five stars great,True
ORD052332,ID0576876304,2019-10-20,Nickolson,"[('Thunder line', 1), ('Candle Inferno', 2), ('Universe Note', 1)]",6490,72.42,-37.8178148,144.9746359,10,5913.42,Spring,False,0.4555,excellent seller. would purchase from seller again product as described. excellent seller. would purchase from seller again.,True
ORD372226,ID0781112992,2019-03-04,Thompson,"[('iAssist Line', 2), ('iStream', 1)]",4600,66.63,-37.8028948,144.9486112,15,3976.63,Autumn,False,1.0969,great buy! phone came with a 98% battery capacity!,True
ORD278982,ID2383211223,2019-10-19,Nickolson,"[('Thunder line', 2), ('Universe Note', 2)]",11260,98.88,-37.8135115,144.96559209999995,0,11358.88,Spring,True,0.6644,super super super love it,True
ORD285308,ID0202519515,2019-06-18,Thompson,"[('Lucent 330S', 1), ('iStream', 2), ('iAssist Line', 1)]",3755,83.85,-37.8019417,144.9269155,10,3463.35,Winter,True,2.1375,👍👍 very fast and pretty. works perfectly with att prepaid.,True
ORD490486,ID4520380447,2019-09-25,Nickolson,"[('Olivia x460', 2), ('Alcon 10', 1)]",11400,102.71,-37.82332570000001,144.9607415,0,11502.71,Spring,False,0.9367,good phone good phone. sleek. fast. everything expected in top of the line device. couldnt be happier with the purchase i made.,True
ORD333374,ID0730515880,2019-06-02,Thompson,"[('iAssist Line', 1), ('pearTV', 2)]",14845,67.26,-37.8241365,144.9491165,0,14912.26,Winter,False,1.2887,fresh start just received it and like it so far,True
ORD239949,ID0711331301,2019-02-04,Thompson,"[('Olivia x460', 1), ('Thunder line', 2)]",5585,59.42,-37.8069753,144.9569695,10,5085.92,Summer,False,1.0772,wasn't happy with it it wasn't listed as a pre-paid phone so it did not work for me at all. wasn't happy with it,False
ORD432499,ID0612015889,2019-06-06,Nickolson,"[('Universe Note', 2), ('pearTV', 2)]",19520,64.73,-37.8157316,144.963445,10,17632.73,Winter,True,0.6244,None,True
ORD351113,ID0207076045,2019-06-29,Nickolson,"[('iStream', 2), ('Alcon 10', 1), ('Candle Inferno', 1)]",9680,74.69,-37.8332672,144.9912618,15,8302.69,Winter,False,2.5123,"i love my new droid mobile after using an alcon for years, i love my new droid mobile. it takes a bit to adjust but the more i have it the better it is. after a few weeks of use. no problems with phone.",True
ORD476850,ID0306968230,2019-01-17,Thompson,"[('Toshika 750', 1), ('Alcon 10', 2), ('Candle Inferno', 2)]",23080,81.02,-37.8178106,144.93174209999995,5,22007.02,Summer,False,1.4641,"it would be wonderful if it came with a gass screen protection already installed very good design, fast, good capacity in gb, etc etc. very nice camera. overall, excellent product for the money payed",True
ORD351556,ID1668523637,2019-03-29,Nickolson,"[('iStream', 1), ('Universe Note', 1)]",3600,80.58,-37.8244809,144.9594236,10,3320.58,Autumn,True,1.1056,five stars great phone! arrived a day ahead of time 😊,True
ORD434899,ID1283617958,2019-07-23,Thompson,"[('iStream', 2), ('iAssist Line', 2), ('Universe Note', 1), ('Candle Inferno', 2)]",9060,68.66,-37.798984999999995,144.95408480000003,25,6863.66,Winter,False,1.6439,"i love my thunder plus and have cousins from italy here visiting and they love it.  i want to give them each one, however will it work for them in italy. someone please answer my question asap.",True
ORD190270,ID0289592440,2019-12-21,Thompson,"[('Alcon 10', 2), ('Olivia x460', 1)]",19125,89.86,-37.812157899999995,144.9536879,15,16346.11,Summer,True,0.5849,my husband loves it my husband loves it,True
ORD211614,ID2371477802,2019-12-11,Bakers,"[('Toshika 750', 1), ('iAssist Line', 2), ('Thunder line', 1)]",10950,85.09,-37.8016406,144.981744,25,8297.59,Summer,True,1.5074,didn't work with straight talk and defective did not work with straight talk and would only stay powered on for 1-2 min at a time. then would freeze and shut off. also had alot of dents on the body.,False
ORD029281,ID0775933376,2019-10-08,Thompson,"[('Thunder line', 1), ('iAssist Line', 1), ('Candle Inferno', 2)]",5265,82.15,-37.8060922,144.95843269999997,10,4820.65,Spring,False,1.2391,"arrived in perfect condition i ordered a rose gold alcon 8. phone arrived in perfect condition, exactly as advertised!",True
ORD263702,ID0387153096,2019-03-12,Thompson,"[('iStream', 2), ('Toshika 750', 1)]",4620,65.21,-37.8073183,144.9534925,10,4223.21,Autumn,True,0.8213,"works in jamaica product was delivered before estimated delivery and came neatly packaged. phone looks very clean with no significant scratches and the screen quality is good. however, the battery seems to be losing its charged quickly.",True
ORD394814,ID2291073990,2019-02-26,Thompson,"[('Alcon 10', 1), ('Olivia x460', 2), ('Universe Note', 1)]",14850,93.65,-37.8114948,144.9569647,25,11231.15,Summer,True,0.8801,five stars my wife loves it,True
