order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD279670,ID0309347101,2019-06-01,Bakers,"[('Alcon 10', 1), ('Candle Inferno', 1)]",9380.0,79.41,-37.8155917,145.0059186,15,8052.41,Winter,True,1.1275,like new like new,1.0
ORD305937,ID0581701516,2019-08-21,Thompson,"[('Toshika 750', 2), ('Lucent 330S', 1), ('pearTV', 2), ('iStream', 1)]",22640.0,69.73,-37.8071185,144.9309042,5,21577.73,Winter,False,1.5503,great phone. get sim from sprint service store. great phone. came in great shape. don't try to get a sim by calling sprint. goto a sprint store with a service center.now that i have the sim. works great.love this phone.,1.0
ORD291814,ID5427967032,2019-03-30,Thompson,"[('Candle Inferno', 1), ('Universe Note', 2), ('Lucent 330S', 2), ('iAssist Line', 1)]",12015.0,82.97,-37.8007415,144.95861010000004,10,10896.47,Autumn,True,1.6717,"this tablet is great considering how affordable it is! i mainly use it for reading, streaming shows, and listening to music. i do wish it was a true android platform instead of the ""digico android"" platform, but overall it's a great little tablet!",1.0
ORD426656,ID4716795471,2019-09-03,Thompson,"[('Lucent 330S', 1), ('iStream', 1), ('pearTV', 2), ('Thunder line', 2)]",18360.0,76.91,-37.8187386,144.95323169999998,0,18435.64,Spring,False,0.8658,good battery the product came in the original box with all the accessories. been using it for the past month and everything works just fine no complains,1.0
ORD106503,ID0332546323,2019-03-22,Thompson,"[('Olivia x460', 1), ('pearTV', 2), ('Candle Inferno', 2), ('Toshika 750', 1)]",19025.0,48.6,-37.806920500000004,144.9428631,15,16219.85,Autumn,False,0.7395,worst signal worst signal. doesn't matter if it's on wifi or data,0.0
ORD442679,ID0846591612,2019-09-10,Nickolson,"[('Toshika 750', 2), ('pearTV', 2), ('Thunder line', 2)]",25620.0,58.0,-37.822117999999996,144.9693669,25,19273.12,Spring,False,0.3925,one star i could not use speaker. started crackling during calls and would die during calls,0.0
ORD387423,ID0641030475,2019-01-10,Thompson,"[('Toshika 750', 1), ('Alcon 10', 1), ('Universe Note', 2), ('iStream', 1)]",20320.0,74.05,-37.809633500000004,144.9382814,25,15314.05,Summer,False,0.8436,great tablet fast screen good size never gives me problem,1.0
ORD393270,ID2190625301,2019-04-02,Nickolson,"[('pearTV', 1), ('Candle Inferno', 2), ('Lucent 330S', 1), ('iStream', 2)]",8700.0,65.54,-37.809415200000004,144.9637725,5,8330.54,Autumn,False,1.1412,"universe s2 to the s4 i upgraded to the s4 from the s3, very happy with the s4 and its features. i like the similarities to the s2 which made it very easy to use from opening the box.",1.0
ORD432376,ID0250933628,2019-05-02,Bakers,"[('Lucent 330S', 2), ('pearTV', 1), ('iStream', 1)]",8920.0,83.88,-37.824865100000004,145.00733300000005,15,7665.88,Autumn,True,1.9677,"great phone!!! gets the job done!!! for the low cost, this phone is up to par in every aspect.",1.0
ORD159859,ID0575434440,2019-01-27,Nickolson,"[('Alcon 10', 2), ('Toshika 750', 2), ('Olivia x460', 2)]",28990.0,98.31,-37.8199784,144.98531880000004,10,26189.31,Summer,True,1.3951,good good quality,1.0
ORD131921,ID0294621357,2019-03-11,Nickolson,"[('Thunder line', 1), ('Toshika 750', 2), ('Olivia x460', 1), ('pearTV', 2)]",24665.0,78.31,-37.8190576,144.9640736,15,21043.56,Autumn,True,0.4844,xiaomi pocophone recommend seller. pocophone is a really great phone. top processor with a long lasting battery life,1.0
