order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD156935,ID3202917978,2019-11-06,Thompson,"[('Lucent 330S', 1), ('Universe Note', 2), ('Toshika 750', 1), ('Thunder line', 2)]",16810,83.64,-37.8075061,144.94662140000003,0,16893.64,Spring,True,0.5765,very universal in use and was of applications. real quick in response,False
ORD101569,ID0758611933,2019-11-15,Thompson,"[('iStream', 2), ('pearTV', 1)]",6610,102.2,-37.8215414,144.9456439,25,5059.7,Spring,True,0.9951,five stars very good phone. work good,True
ORD356885,ID0547588442,2019-03-16,Bakers,"[('Lucent 330S', 1), ('Olivia x460', 1), ('Toshika 750', 1), ('Thunder line', 2)]",11135,79.88,-37.81585250000001,144.98800659999995,25,8431.13,Autumn,True,0.9104,in love i totally love my phone... it's worth the price paid,True
ORD493249,ID6167489432,2019-07-01,Thompson,"[('Lucent 330S', 2), ('Toshika 750', 2)]",11100,64.59,-37.811960600000006,144.9594735,0,11164.59,Winter,True,1.0938,poor bad alcon,False
ORD056801,ID0255058773,2019-11-11,Nickolson,"[('Thunder line', 2), ('Toshika 750', 2), ('pearTV', 1), ('iAssist Line', 2)]",23760,99.06,-37.8128208,144.9718045,10,21483.06,Spring,True,0.6726,camera flash the phone is fantastic. the only reason i have not given it 5 stars is simply because the flash for the camera has not worked since it was taken out of the box. i will be switching it out for another one as soon as i find the time to.,True
ORD052264,ID6167247329,2019-04-10,Nickolson,"[('Candle Inferno', 2), ('Thunder line', 1), ('Alcon 10', 2)]",20940,77.46,-37.8171566,144.9646434,25,15782.46,Autumn,True,0.4603,"four stars phone works great, really quick shipping!",True
ORD253187,ID2766300600,2019-12-28,Nickolson,"[('Alcon 10', 1), ('iStream', 2), ('Olivia x460', 1)]",10475,89.4,-37.8017977,144.9696773,15,8993.15,Summer,True,1.8699,"trying my best to get toshika fix it but in vain touch screen became unresponsive from 3rd month of usage. it is frustrating when you can’t answer calls or can’t use “p”, “q” keys for example. trying my best to get toshika fix it but in vain. do not buy ... that’s in plain english",False
ORD082069,ID2288769428,2019-09-23,Bakers,"[('pearTV', 1), ('Universe Note', 1), ('Thunder line', 1), ('Olivia x460', 2)]",14390,90.11,-37.8012495,145.0040006,0,14480.11,Spring,True,1.2421,lost $80!!!!!!!!!! got a phone that could not be activated!!!!! tried to return but got nothing!!!!i lost $80!!!!!!!!!!!!!!! this is a rip off!!!!!,False
ORD127843,ID0387153102,2019-05-11,Thompson,"[('pearTV', 1), ('iStream', 1), ('Universe Note', 1)]",9910,76.64,-37.8111533,144.9456368,10,8995.64,Autumn,True,0.2109,love my new pixel phone the phone looked very clean when i received it. i upgraded from nexus 6 to this phone and am very happy with it. it takes good pictures quickly and battery lasts very long.,True
ORD237158,ID2442297413,2019-12-14,Thompson,"[('Olivia x460', 1), ('Candle Inferno', 1), ('Thunder line', 2), ('Alcon 10', 1)]",14965,91.07,-37.8175441,144.951741,10,13559.57,Summer,True,0.6803,best value phone it's great and upgrades to the next android software.,True
ORD433448,ID3114181724,2019-12-26,Nickolson,"[('iStream', 1), ('Olivia x460', 1), ('Thunder line', 2)]",5735,96.79,-37.8105079,144.9637216,15,4971.54,Summer,True,1.036,the speakers arent too loud.. iassist is great though. besides that naw,True
ORD481978,ID0248969233,2019-12-14,Bakers,"[('iStream', 2), ('Toshika 750', 1), ('Universe Note', 1)]",8070,83.66,-37.798508500000004,144.9800857,10,7346.66,Summer,False,1.8466,looks and works perfect. glad i got a good deal.,True
ORD203505,ID0054552190,2019-09-01,Nickolson,"[('Thunder line', 2), ('Toshika 750', 1), ('Lucent 330S', 2), ('iAssist Line', 1)]",13365,105.03,-37.8203995,144.9848481,10,12133.53,Spring,True,1.3601,great showed up and time and works just fine,True
ORD485051,ID3967630091,2019-06-17,Thompson,"[('iStream', 2), ('Toshika 750', 1), ('Olivia x460', 2)]",7070,48.88,-37.818149,144.9523633,0,7118.88,Winter,False,0.767,used quality phone started messing up with lines popping up on screen and getting worse. waste of money! and no warranty after only 2 months.,False
ORD218875,ID0681205570,2019-01-27,Bakers,"[('Thunder line', 2), ('iStream', 2)]",4660,66.48,-37.824580600000004,145.00054550000004,15,4027.48,Summer,False,1.6894,no funciona el microfono de verda necesitaba el telefono el microfono del alcon no funciona tendre que devolver el alcon yo de verda lo necesitaba para esta semana nadie prueba que los alcon funcionen correctamente antes de enviarlos,False
ORD135339,ID0578058793,2019-07-08,Thompson,"[('iAssist Line', 2), ('pearTV', 1), ('Lucent 330S', 1), ('Toshika 750', 1)]",16310,120.48,-37.824805299999994,144.9470552,0,16430.48,Winter,True,1.3505,best mid-range smartphone! best android device on the market for under $500,True
ORD441160,ID0506049291,2019-10-03,Thompson,"[('Candle Inferno', 1), ('Olivia x460', 1), ('Lucent 330S', 2), ('Universe Note', 1)]",7565,77.88,-37.813342299999995,144.9354927,10,6886.38,Spring,False,1.0208,five stars works perfectly my son loved it !!,True
ORD270321,ID2358053632,2019-06-07,Bakers,"[('Universe Note', 2), ('iStream', 1), ('Thunder line', 2)]",11410,77.22,-37.814237799999994,144.9871033,25,8634.72,Winter,True,0.8567,"great product, fast delivery excellent packaging and delivery was quick. have bought from this seller before and i very satisfied, the product works like new",True
ORD290109,ID1449266740,2019-01-23,Bakers,"[('Candle Inferno', 2), ('iAssist Line', 2), ('Alcon 10', 2), ('Thunder line', 1)]",25390,97.01,-37.8164058,144.9839794,25,19139.51,Summer,True,1.22,great. definitely gets a little old after a while but for $30 i can't really regret it at all. love having it hooked up to my speakers via bluetooth and waking up to the smiths.,True
ORD402009,ID3191033045,2019-07-22,Nickolson,"[('iStream', 1), ('Candle Inferno', 1)]",580,61.33,-37.8117446,144.9671826,25,496.33,Winter,True,0.7905,"not good my old s7 was glitchy and had a lot of battery drain although the device maintenance said that it was excellent. so i got this s7. unfortunately this phone is the same or worse. glitchy, cannot download updates, excessive battery drain. piece of crap. supposed to be new but still sucks. definitely not worth the money.",False
ORD097736,ID0709973336,2019-08-15,Thompson,"[('Alcon 10', 1), ('pearTV', 1), ('iAssist Line', 1), ('Lucent 330S', 1)]",18715,77.35,-37.8144982,144.9355209,15,15985.1,Winter,True,1.0357,this is a great tablet with great features. i love my candle.,True
ORD182789,ID0060096991,2019-02-07,Thompson,"[('Thunder line', 1), ('Lucent 330S', 1), ('Candle Inferno', 1), ('iStream', 2)]",4140,26.4,-37.8147369,144.9498791,10,3752.4,Summer,False,0.3374,"refurbished dud i don't think the alcon x is a bad phone overall, i just got a bad refurbished one from trademore mobile. it looked brand new but the touch screen had a dead area so i was never able to even set up the phone.",False
ORD458672,ID3215106478,2019-12-08,Thompson,"[('iAssist Line', 1), ('Toshika 750', 1), ('Olivia x460', 1)]",7770,55.46,-37.808974600000006,144.9501386,5,7436.96,Summer,False,0.4923,don't buy ! don't buy it ! the phone doesn't work in the us .not the same lte bands . shame on digico for not mention . i was under the impression that the phone was sold by lucentrola as it shows ( by lucentrola ) ....,False
ORD356661,ID0579511650,2019-07-12,Thompson,"[('iStream', 1), ('Universe Note', 1), ('Thunder line', 2)]",7960,61.38,-37.8136467,144.9480337,5,7623.38,Winter,False,0.1376,great deal my uncle loves it. works great for the price. would recommend.,True
ORD191556,ID0642420371,2019-02-22,Thompson,"[('Olivia x460', 1), ('Toshika 750', 1), ('pearTV', 2), ('Universe Note', 2)]",25065,75.32,-37.8194895,144.9546805,15,21380.57,Summer,False,1.0118,"i love my thunder!  works just like they said it would. i don't have a &#34;smart&#34; home, so i cannot speak about that function, but everything else about it is good.",True
ORD416412,ID0711331374,2019-12-28,Thompson,"[('Lucent 330S', 1), ('Thunder line', 1)]",3410,76.21,-37.807171999999994,144.9570636,10,3145.21,Summer,False,1.0713,"good price - excellent shape good price, excellent shape. battery has 87%,left of life.",True
ORD418315,ID0711359372,2019-08-07,Thompson,"[('Thunder line', 2), ('iStream', 1), ('Alcon 10', 2), ('Toshika 750', 1)]",26730,69.15,-37.8070805,144.95971619999997,15,22789.65,Winter,False,1.2747,"great, but missed a few things! take great pics. videos sent to others comes out wobbly. there's no earbud connection????",True
ORD183221,ID0492939908,2019-12-14,Bakers,"[('iStream', 1), ('Alcon 10', 2)]",18050,83.22,-37.7999799,145.0138091,15,15425.72,Summer,False,1.9781,my kids love them. great little phones that perform very well for their price point!.,True
ORD454115,ID0547568744,2019-02-12,Bakers,"[('Alcon 10', 2), ('Olivia x460', 1), ('Lucent 330S', 1)]",20355,76.84,-37.8105531,144.9882467,5,19414.09,Summer,True,0.6174,beat up phone not worth it at all i got an alcon x with a very badly scratched up screen for $700 save your money,False
ORD318968,ID2383211216,2019-05-12,Nickolson,"[('iAssist Line', 1), ('iStream', 1), ('Olivia x460', 1)]",3600,67.45,-37.8134784,144.9656615,15,3127.45,Autumn,False,0.6644,great really good phone. just as good as a new one. love the phone,True
ORD094937,ID3106294625,2019-05-23,Thompson,"[('Universe Note', 2), ('Thunder line', 1), ('Candle Inferno', 2), ('iAssist Line', 1)]",12165,82.23,-37.8062236,144.93236869999996,15,10422.48,Autumn,True,1.4788,love the product. nice to have easy access to so much info!!!,True
ORD273065,ID4716795183,2019-02-05,Thompson,"[('iStream', 2), ('Toshika 750', 1), ('Thunder line', 2)]",8980,78.4,-37.819071799999996,144.952464,15,7711.4,Summer,True,0.8558,i took it back the day after purchasing it. the screen looks like you are scrolling through old news print. blacks out each moment you move it. i thought it was a defect but nope. according to the geek squad that's just the way it is now :(,False
